id,startdate,datestamp,gender,bundesland,age,education,university,recall,recallland,recallland_other,econinterven,saleconinterven,environment,salenvironment,protectionism,salprotectionism,redistribution,salredistribution,eucohesion,saleucohesion,euenlargement,saleuenlargement,euforeign,saleuforeign,euintegrationtoofar,saleuintegrationtoofar,euposition,saleuposition,civliblaworder,salcivliblaworder,immigratepolicy,salimmigratepolicy,lgb,sallgb,multiculturalism,salmulticulturalism,trans,saltrans,urbanrural,salurbanrural,random,ptv_spd,ptv_cdu,ptv_csu,ptv_greens,ptv_fdp,ptv_afd,ptv_left,ptv_bsw,ptv_freevoters,ptv_volt,ptv_climatelist,votinteu,normdem,demsat,popnonreg_pc1,popnonreg_pc2,popnonreg_pc4,popnonreg_pc5,popnonreg_pc6,popnonreg_pc7,popnonreg_pc8,popreg_pc1,popreg_pc2,popreg_pc4,popreg_pc5,popreg_pc6,popreg_pc7,popreg_pc8,popreg_pc9,popreg_pc10,popreg_pc12,popreg_pc13,popreg_pc14,popreg_pc15,popreg_pc16,peoplecentrism,antielitism,polint,euitems_pc1,euitems_pc3,euitems_pc4,euitems_pc5,euitems_pc6,euitems_pc7,euitems_pc8,popgen_pc1,popgen_pc2,popgen_pc5,popgen_pc6,popgen_pc7,wishesmajority,wishesmajority_spd,wishesmajority_cdu,wishesmajority_csu,wishesmajority_greens,wishesmajority_fdp,wishesmajority_afd,wishesmajority_left,wishesmajority_bsw,wishesmajority_freevoters,wishesmajority_nonofparties,votint,trustslider_breg,trustslider_btag,trustslider_parties,trustslider_politicians,trustslider_eu,trustslider_nato,trustslider_army,trustslider_russia,trustslider_usa,trustslider_china,trustslider_bverfg,trustslider_verfsch,lrgen,socself,urbanrurallive,out,w
9613,2024-05-29T21:09:48Z,2024-05-29T21:27:01Z,1,10,13,3,2,3,NA,NA,7,4.5,6.5,8.5,6,6,5,5,9.5,7,6.5,5.5,10,8,5,5,9.5,8,7,7,4,4,9,8,6,6,9.5,9,6,6,1,3.5,1,-4.5,3,-5,-5,-5,-5,-5,-5,-5,3,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,1,2,2,1,1,3,4,5,5,3,5,5,5,4,1,1,1,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,5,-1,-1,-1,3,3,-5,1,-5,3,-1,5.5,7,2,FALSE,1.1908090855869238
9620,2024-05-29T21:10:21Z,2024-05-29T21:19:40Z,1,15,8,3,2,1,NA,NA,4,7,5,8,2.5,7.5,3,9,10.5,9.5,9.5,5.5,11,11,10,11,9.5,8,5,7.5,3.5,8.5,11,11,2,8.5,11,11,6.5,6.5,2,5,-5,-5,4.5,-3.5,-5,-4,-5,-5,2.5,1.5,1,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,3.5,4,5,5,5,5,5,5,5,2,2,2,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,4,2,2,4,3,4,-5,1,-4,5,5,3.5,9.5,1,FALSE,0.7400088633523524
9630,2024-05-29T21:11:35Z,2024-05-29T21:29:05Z,1,14,8,3,2,33,NA,NA,7,5,9,9,5.5,10.5,8,10,5,3,4,4.5,9.5,9.5,4,7,8,7.5,9,8.5,5,7,7.5,7.5,8.5,8,6,6,8,6.5,1,-5,4,4,-4,3.5,-5,4,4,2.5,4,-5,2,5,3,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,3,4,3,NA,NA,NA,NA,NA,NA,NA,8,6,5,4,4,3,4,4,4,4,2,2,2,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,-1.5,-1.5,-3,-2,-2,3.5,3.5,-5,-2,-5,0,-1.5,7,5,4,FALSE,0.9910097911939779
9641,2024-05-29T21:12:53Z,2024-05-29T21:29:58Z,1,10,10,3,2,3,NA,NA,8.5,NA,2,9.5,5.5,7,6,NA,8,NA,9,8,11,9,7,NA,6,NA,5,7.5,6.5,6,8.5,NA,8,7.5,6,NA,4.5,7.5,1,0.5,-2.5,-5,2.5,0,-5,-5,-5,-5,-5,0,3,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,2,2,4,4,6,8,3,3,5,3,4,4,4,4,3,4,2,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2.5,3.5,1,0,0,2.5,4.5,-5,1.5,-4,5,5,3.5,9,2,FALSE,0.9285192683272518
9645,2024-05-29T21:13:28Z,2024-05-29T21:49:37Z,2,10,12,3,2,2,NA,NA,11,8.5,10,8.5,3.5,NA,11,6.5,4.5,NA,1.5,8.5,3,NA,1,8,6.5,NA,6.5,NA,11,9,6,3.5,11,NA,4,NA,3,NA,1,-5,2,2.5,-5,2,3,-5,-5,2.5,-5,-5,5,4.5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,7.5,4,4,2,2,5,5,5,5,4,3,1,5,2,5,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,5,-4,1,-4,1,-2.5,3,3,-3.5,-0.5,-4,-0.5,-2.5,8.5,2.5,4,FALSE,3.187284286497271
9679,2024-05-29T21:17:16Z,2024-05-29T21:41:21Z,1,10,12,4,1,3,NA,NA,5,6.5,4,8,6,7.5,4,8,8,NA,6,6,10.5,10.5,7,7,9,9,5.5,8,3.5,11,9.5,7,8,9,7,NA,6,7,2,4,-4,-5,4,-5,3,-4,-5,-5,-5,0,1,5,5,2,3,2,3,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4.5,NA,3,5,3,4,5,5,5,3,2,3,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,4,0,2,2,2.5,0,-5,0,-5,4,2,3.5,8,1,FALSE,0.486419584915946
9691,2024-05-29T21:18:10Z,2024-05-29T21:30:34Z,2,2,5,5,2,3,NA,NA,5,NA,3.5,11,7,11,3,10.5,10,11,11,10.5,11,11,7,9.5,10,10,7,9.5,2.5,11,11,10.5,1.5,11,11,9.5,7.5,10,2,5,2,2,5,2,-5,-1.5,1,0.5,2,4,3,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,4,4,5,4,2,4,4,4,3,3,3,4,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,2.5,2.5,3.5,3.5,4,-4.5,-0.5,-4,4,4,5,10.5,1,FALSE,1.6025724245816095
9715,2024-05-29T21:20:22Z,2024-05-29T21:34:16Z,1,1,8,5,1,3,NA,NA,3.5,8.5,5.5,7,7,8.5,1,10.5,6.5,6,6.5,5,8,6,8,6.5,10,8.5,6,6,3.5,7,9,4.5,7,3,10,7.5,6,8.5,1,-4.5,-5,-5,4,-5,-5,1.5,-1.5,-4.5,1,-4,3,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,5,4,5,4,5,5,5,5,4,2,1,5,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3.5,4,4,3.5,3.5,1.5,2.5,-5,-3.5,-4.5,5,2,3,11,1,FALSE,0.6326618188895786
9720,2024-05-29T21:20:52Z,2024-05-29T21:32:28Z,2,6,7,5,1,1,NA,NA,3,NA,2.5,10.5,6,6,3,8,7,7.5,7,9,6,8,6,6,10,9,5.5,7.5,4,9,9,6,5,8.5,9.5,5,6,9.5,2,4,-5,-5,3,-5,-5,4.5,0,-5,2,3,10,4.5,5,3,4,2,4,5,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,4,5,5,5,4,3,5,5,3,3,3,3,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,0,1,1.5,2,0,-1.5,-4,-2,-4,3.5,2,2.5,9,1,FALSE,1.0200190942790648
9721,2024-05-29T21:20:54Z,2024-05-29T21:38:16Z,1,3,12,4,1,3,NA,NA,3.5,8.5,3,1,7,NA,2.5,11,8,6,8.5,8.5,10,11,9.5,11,10,10,7,9,2.5,10.5,11,8.5,3,9.5,11,11,7,NA,2,-4,-5,-5,5,-5,-5,-3,-5,-3,3,NA,3,5,2,1,3,1,4,5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10,4,3,5,4,2,5,5,5,3,4,2,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,4,-2,NA,2,3.5,2,-5,-2.5,-5,5,3.5,3,9.5,2,FALSE,0.47222023833971066
9734,2024-05-29T21:21:30Z,2024-05-29T21:41:36Z,2,2,12,3,2,3,NA,NA,1.5,11,1,11,11,11,11,11,8,11,11,11,11,11,1.5,11,7.5,8,11,11,3.5,11,11,11,9,11,11,11,6,6,1,5,-5,-5,5,-5,-5,-5,-5,-5,1.5,2.5,1,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,1,3,5,5,1,7,3,3,5,2,5,5,3,4,3,1,1,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,2.5,3.5,3.5,5,5,-5,0,-5,5,0.5,3.5,11,1,FALSE,0.769961172586501
9753,2024-05-29T21:23:41Z,2024-05-29T21:44:42Z,1,9,9,5,1,3,NA,NA,3,7.5,4,8,6.5,7.5,4,8,8,8.5,7,4,7.5,7.5,5.5,3,11,10.5,4,5.5,3,9.5,9,3.5,5,9.5,11,3,5.5,10,1,-4.5,-5,-5,5,-5,-5,-5,-5,-5,-3,-4,3,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,1,3,3,4,2.5,7.5,4,5,5,3,4,5,4,5,2,2,2,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2.5,4.5,-1,1,1,2,2,-5,-1.5,-5,3.5,-3,4,8,1,FALSE,0.6527366866815115
9781,2024-05-29T21:25:35Z,2024-05-29T21:44:26Z,1,7,12,5,2,3,NA,NA,4,9,1,11,6,NA,2,11,9,9,9,11,9,11,9,10,9,9,6,8,7,7,9,9,4,9,10,8,4,8,2,0.5,-2,-5,5,-4,-5,0.5,-4,-5,NA,2,3,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,3,4,5,2,5,5,4,4,3,2,3,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,-1,1,0.5,-1,-1,-5,-2,-4,4,-2,3,10,5,FALSE,1.3068502889870501
9804,2024-05-29T21:28:10Z,2024-05-29T21:45:02Z,1,1,6,5,2,17,NA,NA,9,8,5.5,NA,3,NA,8.5,NA,6,NA,9,NA,11,NA,10,NA,6,NA,6,NA,7,NA,10,NA,7.5,NA,6,1,6,NA,2,-5,4,4,-5,3.5,-5,-5,-5,0,3,-4,17,5,4,2,2,2,3,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,5,5,4,5,5,4,5,1,1,3,5,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,1,3,0,0,3,4,2,-5,3,-1,5,4,7,6,2,FALSE,0.9970442735810173
9805,2024-05-29T21:28:13Z,2024-05-29T21:40:09Z,1,1,7,5,2,4,NA,NA,6,2,7,6,6,2,9,6,3,1,6,1,3.5,6,2.5,10,6,1,4.5,11,9.5,6,6,10.5,10.5,11,5,11,3.5,2.5,2,-3,1,-5,-5,0,-5,-5,-5,-2.5,-2.5,-5,17,5,3,4,1,4,3,4,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,4,4,1,2,3,2,3,2,4,3,3,5,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,17,0,0,-3.5,-3,-3,0,0,-5,0,-4,-1,-2,7,5,5,FALSE,0.9970442735810173
9809,2024-05-29T21:28:25Z,2024-05-29T21:39:44Z,1,10,13,5,1,6,NA,NA,1,10,9,9,6,6,1,11,6,6,1,8,6,6,2,7,6,6,2.5,8,6,8,6,6,7,8.5,6,2.5,6,6,1,-2.5,-5,-5,NA,-4,-5,0,5,-5,-5,-3,7,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,3,3,3,4,8,5,4,3,2,4,4,4,3,5,3,2,4,4,5,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,7,-3,-3,-4,0,-3,-1.5,1,0,0,0,0,-4,1,9.5,1,FALSE,0.486419584915946
9818,2024-05-29T21:29:13Z,2024-05-29T21:45:01Z,1,2,3,5,2,3,NA,NA,4,5.5,4.5,8.5,5,5.5,3.5,5,7,6.5,6.5,6.5,7.5,8,7,6.5,11,9,6,9.5,5,5,11,11,4,9,9,9,6,6,2,2,0,-2,5,-1,-5,-1.5,-2,-2.5,3.5,0,3,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,4,5,4,5,4,5,5,3,4,3,2,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3.5,3.5,1,1,3.5,3.5,3,-5,1,-5,4,3,4,8,3,FALSE,1.2114759334294591
9822,2024-05-29T21:29:41Z,2024-05-29T21:47:48Z,1,13,9,5,1,6,3,NA,2.5,9,2,11,3.5,9,1,11,11,10,8,9.5,11,11,11,7.5,11,11,7,7,1,9,11,11,2.5,4,11,11,6,9.5,2,4,-2.5,-5,5,-3,-5,5,-5,-5,5,2,9,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,3,5,5,2,5,5,5,1,1,2,5,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3.5,4,3.5,4,3.5,3.5,-2,-5,4,-5,5,0,3,10,1,FALSE,0.5987930665767813
9827,2024-05-29T21:30:05Z,2024-05-29T21:40:55Z,2,9,9,5,1,3,NA,NA,3,7.5,4,9,8,9,1,11,8,7,7,NA,10,8,8,5.5,7,6,8,8,1,11,11,11,1,9,11,11,6,8.5,1,2,-4,-5,5,-5,-5,2,-5,-5,1,0,3,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,2,1,4,3,5,4,5,5,5,4,5,5,5,5,3,3,2,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,2,3,1,4,1,-5,-1,-5,5,1,2,10,4,FALSE,0.4176584837370629
9834,2024-05-29T21:30:35Z,2024-05-29T21:42:18Z,1,10,12,5,1,3,NA,NA,4,6,5,6,7,6,8,6,6,6,4.5,6,7,6,5,6,8,6,8.5,6,8.5,6,6,6,9,8,5,6,3.5,NA,2,-1,1,-5,-1,1,-5,-5,-5,0,-5,-2,2,5,5,3,4,2,4,4,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,5,4,5,4,5,5,4,4,4,2,2,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,NA,NA,2.5,2.5,2.5,-5,0,-2.5,3,3,7,7,4,FALSE,0.486419584915946
9866,2024-05-29T21:33:49Z,2024-05-29T21:45:06Z,2,10,11,5,2,4,NA,NA,9,11,7,7,7,6,7.5,7.5,8,6.5,4.5,9,9,6,3,9.5,9,8,9.5,9.5,9,11,6,8,8,8,6,3,7,6,1,-3,-4.5,-5,-2.5,4.5,-5,-5,-3.5,2,0.5,-2.5,4,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,5,2,2,5,3,2,8.5,5,4,4,2,5,4,4,3,3,4,3,5,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,4,-4,-2,-4,-4,-4,0,-3.5,-5,3,-5,-1,-1,6,9,2,FALSE,1.6037683741521909
9879,2024-05-29T21:35:49Z,2024-05-29T22:13:34Z,1,13,3,5,2,2,97,NA,6,8.5,7,8,7.5,7,8.5,8.5,7,5,2,7.5,5,7,3.5,9.5,5,6,8.5,8.5,10,10.5,6,4,10.5,10,5.5,4.5,4.5,6.5,1,1.5,5,5,-2.5,3,1,-5,-5,0,-5,-5,2,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,5,4,2,2,5,2,2,4,3,3,2,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1.5,1.5,0,3,2,3,-4.5,-3,-4.5,3,2.5,7.5,2,1,FALSE,0.9049876290032242
9886,2024-05-29T21:36:48Z,2024-05-29T22:08:28Z,2,2,9,5,1,2,NA,NA,7,7,7,6,9,9,10,10,5,7,3,9,9,7,3,9,7,7,10,10,11,11,6,3,10,10,6,4,4,6,2,-5,0,5,-5,2,-5,-5,-5,NA,3.5,-5,2,5,2,4,3,4,2,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,9,3,4,5,2,5,5,3,5,4,2,1,5,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,2,-1,1,-2,-2,-1,1,-1,-5,1,-5,-1,2,8,9,1,FALSE,0.7265393641293488
9889,2024-05-29T21:37:12Z,2024-05-29T21:56:14Z,1,13,8,3,2,1,2,NA,5,8,4,10,9,7,3,8,8,8,8,6,10,10,4,9,8,8,11,11,7,11,7,5,7,7,5,6,7,5.5,1,5,4,-5,2,-1,3,-5,-5,-4,1,-2,1,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,3,4,4,2,5,5,4,3,4,3,2,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,-2,-3,2,2,-2,-5,-3,-5,4,3,7,4.5,1,FALSE,0.9910097911939779
9897,2024-05-29T21:37:28Z,2024-05-29T21:50:47Z,1,3,2,5,2,97,NA,NA,3,10,4.5,9,6,6,1,11,8,5,10,8,10,8.5,8.5,8,9,9,4,8.5,4,8.5,9,6.5,8,8.5,8.5,6.5,9,6,1,-3,-5,-5,-2.5,-5,-5,3,-4.5,-5,2,-4,6,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,10.5,5,4,5,3,5,5,3,4,4,4,4,4,3,4,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,6,-3,-2,-2,-3,-2,0,-1,-4,-2,-4,2.5,0.5,2.5,8,2,FALSE,0.5165169198030002
9962,2024-05-29T21:45:18Z,2024-05-29T22:01:57Z,2,2,10,3,2,3,NA,NA,3.5,7,1.5,11,9,10,3,10,11,11,10,8.5,11,11,3,10,6.5,NA,10,11,2,10.5,11,11,1,11,6.5,NA,1.5,11,2,2.5,-0.5,-2,5,0.5,-5,0.5,NA,NA,NA,4,3,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,10,4,3,5,3,3,5,4,5,2,2,3,5,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,NA,0.5,1,NA,NA,-4.5,-4.5,-3.5,3.5,3,4,9,4,FALSE,0.9219497656606708
9964,2024-05-29T21:45:43Z,2024-05-29T21:57:00Z,1,1,9,5,1,3,NA,NA,6,6,11,11,4,6,8,8,7,6,6,6,8,6,9.5,9.5,10,10,5,6,5,6,10.5,9,5,6,10.5,9,6,6,1,1,-4.5,-5,5,-4.5,-5,-2.5,-4.5,-3.5,2.5,3.5,3,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,4,NA,4,4,3,4,5,2,4,2,2,2,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1.5,2.5,1.5,1.5,1.5,1.5,1.5,-4.5,0,-2.5,4,1,4.5,8,3,FALSE,0.6326618188895786
9992,2024-05-29T21:48:28Z,2024-05-29T22:02:10Z,2,2,8,5,1,3,NA,NA,3,6.5,5,8,7,6.5,3,8,8,7,6.5,8,10,9,7,8,11,11,4,6.5,3,10,10,7,3,8,10,6.5,6,6.5,1,-1,-4.5,-4.5,5,-4.5,-5,-1,-4.5,-4.5,-4,2,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,3,4,4,2,4,5,4,5,4,3,4,4,5,2,1,2,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4.5,4.5,3,2,4,1,1,-5,1,-5,4.5,4,4,10.5,2,FALSE,0.7265393641293488
9998,2024-05-29T21:48:45Z,2024-05-29T22:08:11Z,2,10,12,5,1,3,NA,NA,2.5,6,8,11,6,6,1,10,8.5,6,11,8.5,11,11,11,9.5,11,11,3,6,2.5,10.5,11,11,1,10,6,5,6,6,1,4,-5,-5,5,-5,-5,4,-5,-5,4,3.5,3,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,10,5,5,5,4,4,5,5,2,3,3,3,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-1,0,-2,-1.5,2,2,0,-5,1,-5,3,3,2.5,10,3,FALSE,0.4931903492312515
10016,2024-05-29T21:51:17Z,2024-05-29T22:14:20Z,1,12,11,5,2,4,NA,NA,9.5,11,6,11,1,10,9,11,9,11,8.5,4,11,9,7,8,11,11,1,11,8.5,8.5,9,4,9,11,8,4,6,4,1,-5,-2.5,NA,-5,3,-5,-5,-5,2,-5,-5,10,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8.5,5,4,5,2,5,5,3,3,2,2,1,5,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,-2,3.5,NA,0,NA,5,5,-5,3,-2,3,-5,9,8,5,FALSE,0.8060070658588969
10027,2024-05-29T21:52:22Z,2024-05-29T22:12:38Z,2,7,10,5,1,3,NA,NA,3.5,8.5,1,9,8.5,7.5,4,7,6,6,6,7,9,8.5,6,6,8.5,7,7.5,7.5,4.5,8.5,8.5,7,6,7.5,7,6.5,6,6,2,0,-2.5,-5,5,-5,-5,-5,-5,-4,0,0,3,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,1,4,3,4,4,4,5,3,4,1,1,1,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1.5,1.5,1,1.5,1.5,1.5,0.5,-5,-1.5,-5,4,0,5,6,4,FALSE,1.0217643795375708
10035,2024-05-29T21:53:33Z,2024-05-29T22:04:25Z,2,1,6,5,1,3,NA,NA,5,NA,1,1,4,NA,11,11,8.5,NA,7,NA,8,NA,7.5,NA,11,NA,6,NA,2,NA,11,NA,1,NA,11,NA,6,NA,1,1.5,-3.5,-4.5,5,-3.5,-5,-2,-3.5,-3.5,-4.5,3,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,2,2,2,2.5,1.5,5,5,5,4,3,5,4,3,2,2,4,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2.5,2.5,0,1,2.5,2.5,-1.5,-5,1,-4.5,3,1,3,10.5,4,FALSE,0.595839161058461
10050,2024-05-29T21:55:01Z,2024-05-29T22:13:23Z,2,16,12,4,1,3,6,NA,3,10,8,11,5,9,2,11,10.5,10,5.5,9,9.5,9.5,8,10.5,11,11,6.5,8.5,5,11,10,9,4,11,7,8,6.5,9,2,3,-4,-5,4,-5,-5,1,-5,-5,-5,1,1,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,5,4,4,5,4,4,5,5,4,3,2,2,5,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,2,2,2,4,1,-5,-1,-5,5,2.5,5,7,4,FALSE,1.24418095787063
10077,2024-05-29T21:57:43Z,2024-05-29T22:11:12Z,2,1,6,5,1,1,NA,NA,4.5,8,5,8,4.5,8,3.5,8.5,7,6,9,9,7.5,10,7.5,8,9.5,9,6,7,5.5,7,9.5,6,5,7.5,11,4,6.5,8,1,5,-1,-5,4,0.5,-5,-3.5,-4,-2.5,1.5,3.5,1,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,3,3,4,2,1.5,4,5,5,4,5,5,4,5,2,2,2,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,3,4,3,4,4.5,-5,2,-5,5,4.5,6,9,4,FALSE,0.595839161058461
10109,2024-05-29T22:00:41Z,2024-05-29T22:13:04Z,1,4,12,5,1,3,3,NA,5,10,1,11,2.5,10,3.5,11,8,7,7,8,11,11,7,8,10,9.5,4.5,5,5,9,11,6.5,5.5,8.5,11,6.5,6,6,2,1.5,-5,-5,5,-5,-5,-3.5,-3.5,-5,-3.5,-1.5,3,5,3,2,4,2,2,3,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,4,4,4,4,4,4,4,1,2,3,4,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-2.5,3,1.5,1.5,1.5,1,1,-4,1,-1,5,3,4,7,4,FALSE,0.7943173332140976
10162,2024-05-29T22:05:30Z,2024-05-29T22:22:20Z,1,13,6,5,1,3,3,NA,3,8,3.5,NA,5,NA,4,NA,9,NA,6,NA,9,NA,7.5,NA,10.5,NA,4.5,NA,6,NA,11,NA,6,NA,9,NA,7.5,NA,1,-2.5,-5,-5,4.5,-5,-5,0,-5,-5,2,0,1,5,4,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,3,4,2,NA,NA,NA,NA,NA,NA,NA,3.5,3,4,4,4,3,4,4,4,4,2,3,3,4,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3.5,4,3.5,3.5,3.5,4,4,-4.5,3.5,-4,5,2,3,9,2,FALSE,0.5104186877821002
10185,2024-05-29T22:08:04Z,2024-05-29T22:23:32Z,2,8,8,5,2,1,NA,NA,8.5,NA,4,11,6,6,4,8,8,8,9,8,10,10,6,6,9,9,8,8,6,8,8,8,7,6,6,6,6,8,2,-1,-4,-5,2,-3,-5,-5,-5,-5,-4,-5,3,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,3,3,5,3,4,5,3,5,3,2,2,5,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2.5,3,2.5,2.5,2.5,3,2,-5,2,-5,4,3,3.5,9,3,FALSE,0.950779908613716
