item,value,text,question
recallland,2,CDU/CSU,Political party voted for in the last state election (2019) with the second vote
recallland,20,Familienpartei,Political party voted for in the last state election (2019) with the second vote
recallland,21,PdV (Partei der Vernunft),Political party voted for in the last state election (2019) with the second vote
recallland,22,V3 Partei,Political party voted for in the last state election (2019) with the second vote
recallland,23,Letzte Generation (Parlament aufmischen),Political party voted for in the last state election (2019) with the second vote
recallland,24,Klimaliste,Political party voted for in the last state election (2019) with the second vote
recallland,25,Werteunion,Political party voted for in the last state election (2019) with the second vote
recallland,3,Grüne,Political party voted for in the last state election (2019) with the second vote
recallland,32,Sonstige,Political party voted for in the last state election (2019) with the second vote
recallland,33,Ich habe nicht gewählt,Political party voted for in the last state election (2019) with the second vote
recallland,4,FDP,Political party voted for in the last state election (2019) with the second vote
recallland,5,AfD,Political party voted for in the last state election (2019) with the second vote
recallland,6,Die Linke,Political party voted for in the last state election (2019) with the second vote
recallland,7,BSW,Political party voted for in the last state election (2019) with the second vote
recallland,8,Freie Wähler,Political party voted for in the last state election (2019) with the second vote
recallland,9,Volt,Political party voted for in the last state election (2019) with the second vote
recallland,97,Ich war nicht wahlberechtigt,Political party voted for in the last state election (2019) with the second vote
recallland,98,Ich habe ungültig gewählt,Political party voted for in the last state election (2019) with the second vote
recallland,99,Ich erinnere mich nicht,Political party voted for in the last state election (2019) with the second vote
recallland_other,,Other party specification,Other party voted for in last state election
redistribution,1,Strongly supports social redistribution,The user's opinion on social redistribution policies
redistribution,11,Strongly opposes social redistribution,The user's opinion on social redistribution policies
salcivliblaworder,1,Not at all important,Importance of this issue
salcivliblaworder,11,Very important,Importance of this issue
saleconinterven,1,Not at all important,Importance of this issue
saleconinterven,11,Very important,Importance of this issue
salenvironment,1,Not at all important,Importance of this issue
salenvironment,11,Very important,Importance of this issue
saleucohesion,1,Not at all important,Importance of this issue
saleucohesion,11,Very important,Importance of this issue
saleuenlargement,1,Not at all important,Importance of this issue
saleuenlargement,11,Very important,Importance of this issue
saleuforeign,1,Not at all important,Importance of this issue
saleuforeign,11,Very important,Importance of this issue
saleuintegrationtoofar,1,Not at all important,Importance of this issue
saleuintegrationtoofar,11,Very important,Importance of this issue
saleuposition,1,Not at all important,Importance of this issue
saleuposition,11,Very important,Importance of this issue
salimmigratepolicy,1,Not at all important,Importance of this issue
salimmigratepolicy,11,Very important,Importance of this issue
sallgb,1,Not at all important,Importance of this issue
sallgb,11,Very important,Importance of this issue
salmulticulturalism,1,Not at all important,Importance of this issue
salmulticulturalism,11,Very important,Importance of this issue
salprotectionism,1,Not at all important,Importance of this issue
salprotectionism,11,Very important,Importance of this issue
salredistribution,1,Not at all important,Importance of this issue
salredistribution,11,Very important,Importance of this issue
saltrans,1,Not at all important,Importance of this issue
saltrans,11,Very important,Importance of this issue
salurbanrural,1,Not at all important,Importance of this issue
salurbanrural,11,Very important,Importance of this issue
socself,1,conservative,Self-positioning on a societal scale from 'conservative' to 'progressive'
socself,11,progressive,Self-positioning on a societal scale from 'conservative' to 'progressive'
startdate,,Date and time format,Date and time user started answering questions
trans,1,Transgender rights should be restricted,User's opinion on the rights of transgender individuals
trans,11,Transgender rights should be expanded,User's opinion on the rights of transgender individuals
trustslider_army,-5,Do not trust at all,Trust in German Armed Forces
trustslider_army,5,Trust completely,Trust in German Armed Forces
trustslider_breg,-5,Do not trust at all,Trust in Federal Government
trustslider_breg,5,Trust completely,Trust in Federal Government
trustslider_btag,-5,Do not trust at all,Trust in Federal Parliament
trustslider_btag,5,Trust completely,Trust in Federal Parliament
trustslider_bverfg,-5,Do not trust at all,Trust in Federal Constitutional Court
trustslider_bverfg,5,Trust completely,Trust in Federal Constitutional Court
trustslider_china,-5,Do not trust at all,Trust in Chinese Government
trustslider_china,5,Trust completely,Trust in Chinese Government
trustslider_eu,-5,Do not trust at all,Trust in EU
trustslider_eu,5,Trust completely,Trust in EU
trustslider_nato,-5,Do not trust at all,Trust in NATO
trustslider_nato,5,Trust completely,Trust in NATO
trustslider_parties,-5,Do not trust at all,Trust in Political parties
trustslider_parties,5,Trust completely,Trust in Political parties
trustslider_politicians,-5,Do not trust at all,Trust in Politicians
trustslider_politicians,5,Trust completely,Trust in Politicians
trustslider_russia,-5,Do not trust at all,Trust in Russian Government
trustslider_russia,5,Trust completely,Trust in Russian Government
trustslider_usa,-5,Do not trust at all,Trust in US Government
trustslider_usa,5,Trust completely,Trust in US Government
trustslider_verfsch,-5,Do not trust at all,Trust in Federal Office for the Protection of the Constitution
trustslider_verfsch,5,Trust completely,Trust in Federal Office for the Protection of the Constitution
university,1,yes,"Does the user have a university degree (e.g., Bachelor, Master, Diploma, Magister)?"
university,2,no,"Does the user have a university degree (e.g., Bachelor, Master, Diploma, Magister)?"
urbanrural,1,Strongly support rural interests,Support the user shows for rural vs. urban interests
urbanrural,11,Strongly support urban interests,Support the user shows for rural vs. urban interests
urbanrurallive,1,Large city,Respondent's self-assessment of place of residence
urbanrurallive,2,Edge or suburb of a large city,Respondent's self-assessment of place of residence
urbanrurallive,3,Medium-sized city,Respondent's self-assessment of place of residence
urbanrurallive,4,Small town,Respondent's self-assessment of place of residence
urbanrurallive,5,Rural village,Respondent's self-assessment of place of residence
urbanrurallive,6,Isolated farm or standalone rural house,Respondent's self-assessment of place of residence
votint,1,SPD,Vote Intention for Bundestag Elections if they were held on Sunday
votint,10,Die PARTEI,Vote Intention for Bundestag Elections if they were held on Sunday
votint,11,dieBasis,Vote Intention for Bundestag Elections if they were held on Sunday
votint,12,Tierschutzpartei,Vote Intention for Bundestag Elections if they were held on Sunday
votint,13,ÖDP,Vote Intention for Bundestag Elections if they were held on Sunday
votint,14,Bündnis Deutschland,Vote Intention for Bundestag Elections if they were held on Sunday
votint,15,Piratenpartei,Vote Intention for Bundestag Elections if they were held on Sunday
votint,16,Diem/Mera25,Vote Intention for Bundestag Elections if they were held on Sunday
votint,17,PdH (Partei der Humanisten),Vote Intention for Bundestag Elections if they were held on Sunday
votint,18,(leer),Vote Intention for Bundestag Elections if they were held on Sunday
votint,19,PdF (Partei des Fortschritts),Vote Intention for Bundestag Elections if they were held on Sunday
votint,2,CDU/CSU,Vote Intention for Bundestag Elections if they were held on Sunday
votint,20,Familienpartei,Vote Intention for Bundestag Elections if they were held on Sunday
votint,21,PdV (Partei der Vernunft),Vote Intention for Bundestag Elections if they were held on Sunday
votint,22,V3 Partei,Vote Intention for Bundestag Elections if they were held on Sunday
votint,23,Letzte Generation (Parlament aufmischen),Vote Intention for Bundestag Elections if they were held on Sunday
votint,24,Klimaliste,Vote Intention for Bundestag Elections if they were held on Sunday
votint,25,Werteunion,Vote Intention for Bundestag Elections if they were held on Sunday
votint,3,Grüne,Vote Intention for Bundestag Elections if they were held on Sunday
votint,32,Sonstige,Vote Intention for Bundestag Elections if they were held on Sunday
votint,33,Ich würde nicht wählen gehen,Vote Intention for Bundestag Elections if they were held on Sunday
votint,4,FDP,Vote Intention for Bundestag Elections if they were held on Sunday
votint,5,AfD,Vote Intention for Bundestag Elections if they were held on Sunday
votint,6,Die Linke,Vote Intention for Bundestag Elections if they were held on Sunday
votint,7,BSW,Vote Intention for Bundestag Elections if they were held on Sunday
votint,8,Freie Wähler,Vote Intention for Bundestag Elections if they were held on Sunday
votint,9,Volt,Vote Intention for Bundestag Elections if they were held on Sunday
votint,97,Ich wäre nicht wahlberechtigt,Vote Intention for Bundestag Elections if they were held on Sunday
votint,98,Ich würde ungültig wählen,Vote Intention for Bundestag Elections if they were held on Sunday
votint,99,Weiß nicht,Vote Intention for Bundestag Elections if they were held on Sunday
votinteu,1,SPD,"User's voting intention for the upcoming EU election on June 9, 2024"
votinteu,10,Die PARTEI,"User's voting intention for the upcoming EU election on June 9, 2024"
votinteu,11,dieBasis,"User's voting intention for the upcoming EU election on June 9, 2024"
votinteu,12,Tierschutzpartei,"User's voting intention for the upcoming EU election on June 9, 2024"
votinteu,13,ÖDP,"User's voting intention for the upcoming EU election on June 9, 2024"
votinteu,14,Bündnis Deutschland,"User's voting intention for the upcoming EU election on June 9, 2024"
votinteu,15,Piratenpartei,"User's voting intention for the upcoming EU election on June 9, 2024"
votinteu,16,Diem/Mera25,"User's voting intention for the upcoming EU election on June 9, 2024"
votinteu,17,PdH (Partei der Humanisten),"User's voting intention for the upcoming EU election on June 9, 2024"
votinteu,18,(leer),"User's voting intention for the upcoming EU election on June 9, 2024"
votinteu,19,PdF (Partei des Fortschritts),"User's voting intention for the upcoming EU election on June 9, 2024"
votinteu,2,CDU/CSU,"User's voting intention for the upcoming EU election on June 9, 2024"
votinteu,20,Familienpartei,"User's voting intention for the upcoming EU election on June 9, 2024"
votinteu,21,PdV (Partei der Vernunft),"User's voting intention for the upcoming EU election on June 9, 2024"
votinteu,22,V3 Partei,"User's voting intention for the upcoming EU election on June 9, 2024"
votinteu,23,Letzte Generation (Parlament aufmischen),"User's voting intention for the upcoming EU election on June 9, 2024"
votinteu,24,Klimaliste,"User's voting intention for the upcoming EU election on June 9, 2024"
votinteu,25,Werteunion,"User's voting intention for the upcoming EU election on June 9, 2024"
votinteu,3,Grüne,"User's voting intention for the upcoming EU election on June 9, 2024"
votinteu,32,Sonstige,"User's voting intention for the upcoming EU election on June 9, 2024"
votinteu,33,Werde nicht wählen,"User's voting intention for the upcoming EU election on June 9, 2024"
votinteu,4,FDP,"User's voting intention for the upcoming EU election on June 9, 2024"
votinteu,5,AfD,"User's voting intention for the upcoming EU election on June 9, 2024"
votinteu,6,Die Linke,"User's voting intention for the upcoming EU election on June 9, 2024"
votinteu,7,BSW,"User's voting intention for the upcoming EU election on June 9, 2024"
votinteu,8,Freie Wähler,"User's voting intention for the upcoming EU election on June 9, 2024"
votinteu,9,Volt,"User's voting intention for the upcoming EU election on June 9, 2024"
votinteu,97,Ich bin nicht wahlberechtigt,"User's voting intention for the upcoming EU election on June 9, 2024"
votinteu,98,Ich werde ungültig wählen,"User's voting intention for the upcoming EU election on June 9, 2024"
votinteu,99,Ich weiß nicht,"User's voting intention for the upcoming EU election on June 9, 2024"
wishesmajority,1,Strongly disagree,"Agreement with: 'For years, the government has ignored the wishes of the majority'"
wishesmajority,2,Somewhat disagree,"Agreement with: 'For years, the government has ignored the wishes of the majority'"
wishesmajority,3,Partly agree/Partly disagree,"Agreement with: 'For years, the government has ignored the wishes of the majority'"
wishesmajority,4,Somewhat agree,"Agreement with: 'For years, the government has ignored the wishes of the majority'"
wishesmajority,5,Strongly agree,"Agreement with: 'For years, the government has ignored the wishes of the majority'"
wishesmajority_afd,Y,Yes,Which party/parties do you trust most to solve this problem? (refers to wishesmajority)
wishesmajority_afd,,No selection,Which party/parties do you trust most to solve this problem? (refers to wishesmajority)
wishesmajority_bsw,Y,Yes,Which party/parties do you trust most to solve this problem? (refers to wishesmajority)
wishesmajority_bsw,,No selection,Which party/parties do you trust most to solve this problem? (refers to wishesmajority)
wishesmajority_cdu,Y,Yes,Which party/parties do you trust most to solve this problem? (refers to wishesmajority)
wishesmajority_cdu,,No selection,Which party/parties do you trust most to solve this problem? (refers to wishesmajority)
wishesmajority_csu,Y,Yes,Which party/parties do you trust most to solve this problem? (refers to wishesmajority)
wishesmajority_csu,,No selection,Which party/parties do you trust most to solve this problem? (refers to wishesmajority)
wishesmajority_fdp,Y,Yes,Which party/parties do you trust most to solve this problem? (refers to wishesmajority)
wishesmajority_fdp,,No selection,Which party/parties do you trust most to solve this problem? (refers to wishesmajority)
wishesmajority_freevoters,Y,Yes,Which party/parties do you trust most to solve this problem? (refers to wishesmajority)
wishesmajority_freevoters,,No selection,Which party/parties do you trust most to solve this problem? (refers to wishesmajority)
wishesmajority_greens,Y,Yes,Which party/parties do you trust most to solve this problem? (refers to wishesmajority)
wishesmajority_greens,,No selection,Which party/parties do you trust most to solve this problem? (refers to wishesmajority)
wishesmajority_left,Y,Yes,Which party/parties do you trust most to solve this problem? (refers to wishesmajority)
wishesmajority_left,,No selection,Which party/parties do you trust most to solve this problem? (refers to wishesmajority)
wishesmajority_nonofparties,Y,Yes,Which party/parties do you trust most to solve this problem? (refers to wishesmajority)
wishesmajority_nonofparties,,No selection,Which party/parties do you trust most to solve this problem? (refers to wishesmajority)
wishesmajority_spd,Y,Yes,Which party/parties do you trust most to solve this problem? (refers to wishesmajority)
wishesmajority_spd,,No selection,Which party/parties do you trust most to solve this problem? (refers to wishesmajority)
